"Id";"DayType"
"Status2018226";"occupied"
"Status2018227";"occupied"
"Status2018228";"occupied"
"Status2017805";"occupied"
"Status2017806";"occupied"
"Status2017807";"occupied"
"Status2017808";"occupied"
"Status2017809";"occupied"
"Status2017810";"occupied"
"Status2017811";"occupied"
"Status20171223";"occupied"
"Status2018301";"occupied"
"Status2018302";"occupied"
"Status2018303";"occupied"
"Status2018304";"occupied"
"Status2018305";"occupied"
"Status2018306";"occupied"
"Status2018307";"occupied"
"Status2018308";"occupied"
"Status2018309";"occupied"
"Status2018310";"occupied"
"Status2018311";"occupied"
"Status2018312";"occupied"
"Status2018313";"occupied"
"Status2018314";"occupied"
"Status2018315";"occupied"
"Status2018316";"occupied"
"Status2018317";"departure"
"Status2017902";"notToOccupy"
"Status2017903";"notToOccupy"
"Status2017904";"notToOccupy"
"Status2017905";"notToOccupy"
"Status2017906";"notToOccupy"
"Status2017907";"notToOccupy"
"Status2017908";"notToOccupy"
"Status2017909";"notToOccupy"
"Status2018324";"notToOccupy"
"Status2018325";"notToOccupy"
"Status2018326";"notToOccupy"
"Status2018327";"notToOccupy"
"Status2018328";"notToOccupy"
"Status2018331";"occupied"
"Status2018401";"occupied"
"Status2018402";"occupied"
"Status2018403";"occupied"
"Status2018404";"occupied"
"Status2018405";"occupied"
"Status2018406";"occupied"
"Status2018407";"occupied"
"Status2018408";"departure"
"Status2018428";"arrival"
"Status2018429";"occupied"
"Status2018430";"occupied"
"Status2018501";"occupied"
"Status2018502";"occupied"
"Status2018503";"occupied"
"Status2018504";"occupied"
"Status20191222";"occupied"
"Status20191223";"occupied"
"Status20191224";"occupied"
"Status20191225";"occupied"
"Status20191226";"occupied"
"Status20191227";"occupied"
"Status20191228";"occupied"
"Status20191229";"occupied"
"Status20191230";"occupied"
"Status20191231";"occupied"
"Status2020101";"occupied"
"Status2020102";"occupied"
"Status2020103";"occupied"
"Status2020104";"departure"
"Status2019202";"notToOccupy"
"Status2019203";"notToOccupy"
"Status2019204";"notToOccupy"
"Status2019205";"notToOccupy"
"Status2019206";"notToOccupy"
"Status2019207";"notToOccupy"
"Status2019208";"notToOccupy"
"Status2018505";"departure"
"Status2019210";"occupied"
"Status2019211";"occupied"
"Status2019212";"occupied"
"Status2019213";"occupied"
"Status2019214";"occupied"
"Status2019215";"occupied"
"Status2019216";"departure"
"Status2019209";"arrivalDeparture"
"Status2018329";"notToOccupy"
"Status2018330";"arrival"
"Status2018922";"notToOccupy"
"Status2018923";"notToOccupy"
"Status2018924";"notToOccupy"
"Status2018925";"notToOccupy"
"Status2018926";"notToOccupy"
"Status2018927";"notToOccupy"
"Status2018928";"notToOccupy"
"Status2018929";"notToOccupy"
"Status20181006";"arrival"
"Status20181007";"occupied"
"Status20181008";"occupied"
"Status20181009";"occupied"
"Status20181010";"occupied"
"Status20181011";"occupied"
"Status20181012";"occupied"
"Status20181013";"arrivalDeparture"
"Status20181014";"occupied"
"Status20181015";"occupied"
"Status20181016";"occupied"
"Status20181017";"occupied"
"Status20181018";"occupied"
"Status20181019";"occupied"
"Status20181020";"departure"
"Status2019414";"occupied"
"Status2019415";"occupied"
"Status2019416";"occupied"
"Status2019417";"occupied"
"Status2019418";"occupied"
"Status2019419";"occupied"
"Status2019413";"arrival"
"Status2019420";"departure"
"Status2018721";"arrival"
"Status2018722";"occupied"
"Status2018723";"occupied"
"Status2018724";"occupied"
"Status2018725";"occupied"
"Status2018726";"occupied"
"Status2018727";"occupied"
"Status2018728";"occupied"
"Status2018729";"departure"
"Status2018817";"notToOccupy"
"Status2018818";"notToOccupy"
"Status2018819";"notToOccupy"
"Status2018820";"notToOccupy"
"Status2018821";"notToOccupy"
"Status2018822";"notToOccupy"
"Status2018823";"notToOccupy"
"Status2018824";"notToOccupy"
"Status2018825";"notToOccupy"
"Status2018826";"notToOccupy"
"Status2018827";"notToOccupy"
"Status2019315";"occupied"
"Status2019316";"occupied"
"Status2019317";"occupied"
"Status2020202";"occupied"
"Status2020203";"occupied"
"Status2020204";"occupied"
"Status2020205";"occupied"
"Status2020206";"occupied"
"Status2020207";"occupied"
"Status2020208";"occupied"
"Status2020209";"occupied"
"Status2020210";"occupied"
"Status2020211";"occupied"
"Status2020212";"occupied"
"Status2020213";"occupied"
"Status2020214";"occupied"
"Status2019921";"notToOccupy"
"Status2019922";"notToOccupy"
"Status2019923";"notToOccupy"
"Status2019924";"notToOccupy"
"Status2019925";"notToOccupy"
"Status2019926";"notToOccupy"
"Status2019927";"notToOccupy"
"Status2019928";"notToOccupy"
"Status20191005";"arrival"
"Status20191006";"occupied"
"Status20191007";"occupied"
"Status20191008";"occupied"
"Status20191009";"occupied"
"Status20191010";"occupied"
"Status20191011";"occupied"
"Status2019820";"notToOccupy"
"Status2019821";"notToOccupy"
"Status2019822";"notToOccupy"
"Status2019823";"notToOccupy"
"Status2019824";"notToOccupy"
"Status2019825";"notToOccupy"
"Status20191012";"arrivalDeparture"
"Status20191013";"occupied"
"Status20191014";"occupied"
"Status20191015";"occupied"
"Status20191016";"occupied"
"Status20191017";"occupied"
"Status20191018";"occupied"
"Status20191019";"departure"
"Status2019929";"notToOccupy"
"Status2020221";"occupied"
"Status2020222";"occupied"
"Status2020223";"departure"
"Status20191221";"occupied"
"Status2020130";"occupied"
"Status2020131";"occupied"
"Status2020201";"arrivalDeparture"
"Status2020215";"arrivalDeparture"
